from,to,relation,year
sast,fhvdp,2,2008
sast,fbp,2,2007
iltr,plb,2,2006
miko,bslp,2,2008
kala,pltn,2,2008
kala,wrp,2,2008
thst,ap,2,2007
thst,pkdw,2,2008
uwte,pkas,2,2009
uwte,ujp,2,2008
dida,kulp,2,2009
rola,schbp,2,2008
hemu,npl,2,2009
nosc,pswr,2,2009
nosc,rps,2,2010
nosc,bsk,2,2010
clse,fbp,2,2010
stth,ap,2,2009
meab,schbp,2,2010
pewa,ibp,2,2010
juza,ibp,2,2010
juza,sldp,2,2010
euru,adp,2,2009
euru,ap,2,2011
jabr,nbp,2,2011
sile,wrp,2,2011
mast,fbp,2,2012
urkr,gsp,2,2015
wohe,plb,2,2012
clme,psb,2,2013
mapo,lcpp,2,2013
mapo,wrp,2,2013
luse,mklp,2,2020
luse,ujp,2,2014
thhe,wrp,2,2014
ankl,hhp,2,2014
frwi,rgp,2,2012
jeer,tmp,2,2016
jeer,whp,2,2016
ulpe,fhpreis,2,2015
ulpe,mfp,2,2015
ulpe,pwp,2,2015
mosc,schbp,2,2015
mosc,fpss,2,2016
thme,ksp,2,2017
thme,pswr,2,2016
phwi,ap,2,2016
rome,cbfn,2,2020
frstgr,bbp,2,2017
thle,psb,2,2017
mapo,ksp,2,2018
samasa,mcp,2,2017
samasa,pjps,2,2017
suro,fhpreis,2,2018
suro,tp,2,2018
maceba,adp,2,2017
maceba,cph,2,2019
sast,ep,2,2020
sast,hfp,2,2020
sast,up,2,2020
raed,pdsf,2,2020
misoku,ap,2,2019
misoku,pjps,2,2019
tosc,fbp,2,2020
nosc,ebp,2,2020
nosc,wrp,2,2019
jath,ddp,2,2020
bobj,dfp,2,2018
deoh,ap,2,2020
deoh,pjps,2,2020
chwu,wrp,2,2020
chkr,schp,2,2022
thku,nop,2,2018
misa,erbp,2,2021
misa,pr,2,2021
kiho,pjps,2,2022
kiho,schbp,2,2022
faay,rgp,2,2022
krbi,hamp,2,2021
jafa,wrp,2,2022
