from,to,relation,year
gilu,ssr,2,2017
grammofon,acp,2,2008
grammofon,fhvdp,2,2008
grammofon,luchterhand,3,2006
grenzgang,ap,2,2009
grenzgang,suhrkamp,3,2010
habenichtse,suhrkamp,3,2006
hauptstadt,cbfn,2,2020
hauptstadt,suhrkamp,3,2017
hemu,amgp,2,1981
hemu,ap,2,1984
hemu,atemschaukel,1,2009
hemu,blp,2,2005
hemu,czm,2,2002
hemu,dkp,2,1992
hemu,pa,2,1995
hemu,fkp,2,1999
hemu,hbp,2,2015
hemu,hsp,2,2019
hemu,hvfp,2,2010
hemu,idp,2,1998
hemu,impac,2,1998
hemu,jbp,2,2003
hemu,jgp,2,2021
hemu,klp,2,1994
hemu,kp,2,1991
hemu,lpg,2,1997
hemu,lpvkj,2,1982
hemu,mfp,2,1989
hemu,pkas,2,2004
hemu,pmp,2,2018
hemu,psb,2,1985
hemu,rihp,2,1987
hemu,roswp,2,1990
hemu,rp,2,1985
hemu,sblp,2,2011
hemu,skvc,2,2007
hemu,ssb,2,1995
hemu,vms,2,1991
hemu,whp,2,2006
hemu,wlp,2,2006
herkunft,ep,2,2020
herkunft,hfp,2,2020
herkunft,luchterhand,3,2019
herkunft,up,2,2020
herzfaden,kiepenheuer,3,2020
hest,allesforscher,1,2014
hest,bbp,2,2016
hest,hvdp,2,2010
hest,skp,2,2009
hest,wlp,2,1999
hool,ap,2,2016
hool,aufbau,3,2016
identitti,erbp,2,2021
identitti,hanser,3,2021
identitti,pr,2,2021
iltr,acfp,2,2000
iltr,blp,2,2007
iltr,cap,2,2011
iltr,hbp,2,2017
iltr,mbp,2,1996
iltr,mss,2,2007
iltr,plh,2,2009
iltr,sva,2,2006
iltr,tvp,2,1997
iltr,up,2,2018
iltr,weltensammler,1,2006
iltr,wlp,2,2010
indigo,suhrkamp,3,2012
inma,ewp,2,2012
inma,kap,2,2015
inma,kmkp,2,2010
inma,omp,2,2009
inma,wollt,1,2015
inma,archipel,4,2018
inma,bom,2,2009
inma,ewp,2,2012
inma,kap,2,2014
inma,kmkp,2,2010
insc,adam,1,2008
insc,adp,2,1995
insc,ap,2,1995
insc,bblp,2,2013
insc,ewp,2,1995
insc,jbm,2,1998
