id,name,type,sex,year,genre,thema,herkunft
sgp,Schiller-Gedächtnispreis,2,NA,NA,NA,NA,NA
shp,Stefan-Heym-Preis,2,NA,NA,NA,NA,NA
ske,Stipendium Künstlerhaus Edenkoben,2,NA,NA,NA,NA,NA
skp,Stuttgarter Krimipreis,2,NA,NA,NA,NA,NA
sks,Stipendium Künstlerhof Schreyahn,2,NA,NA,NA,NA,NA
skla,Stipendium des Künstlerhauses Lukas Ahrenshoop,2,NA,NA,NA,Na,NA
skvc,Stipendium des Künstlerhauses Villa Concordia,2,NA,NA,NA,NA,NA
slcb,Stipendium Literarischen Colloquiums Berlin,2,NA,NA,NA,NA,NA
sldp,Sinecure-Lansdorf Preis,2,NA,NA,NA,NA,NA
rauschen,Ueberm Rauschen,3,NA,2009,Familienroman,Glück/Familie,NA
meab,Melinda Nadj Abonji,4,1,NA,NA,NA,Jugoslawien
tauben,Tauben fliegen auf,3,NA,2010,Familienroman,Jugoslawien-Konflikt/Heimat,NA
slp,Schubart-Literaturpreis,2,NA,NA,NA,NA,NA
sls,Spreewald-Literatur-Stipendium,2,NA,NA,NA,NA,NA
sp ,Saba-Preis,2,NA,NA,NA,NA,NA
spbj,"Sonderpreis ""Buch des Jahres""",2,NA,NA,NA,NA,NA
spl,Spycher Literaturpreis Leuk,2,NA,NA,NA,NA,NA
clse,Clemens Setz,4,2,NA,NA,NA,Wien
frequenzen,Die Frequenzen,3,NA,2009,Familienroman,Liebe/Gewalt,NA
residenz,Residenz Verlag,1,NA,NA,NA,NA,NA
spsm,Schillerpreis der Stadt Marbach am Neckar,2,NA,NA,NA,NA,NA
spss,Schillerpreis der Schweizerischen Schillerstiftung,2,NA,NA,NA,NA,NA
grenzgang,Grenzgang,3,NA,2010,Heimatroman,Lebenstraum/Glueck,NA
sorgen,Georgs Sorgen um die Vergangenheit oder im Reich des heiligen Bimbams von Prag,3,NA,2010,Entwicklungsroman,Sozialismus/Erotik/Widerstand,NA
andernorts,Andernorts,3,NA,2010,Familienroman,Judentum/Shoah,NA
september,"September, Fata Morgana",3,NA,2010,Gesellschaftsroman,Terrorattentate/Kulturunterschiede,NA
dora,Doron Rabinovici,4,2,NA,NA,NA,Tel Aviv
spzk,Schillerpreis der Zürcher Kantonalbank,2,NA,NA,NA,NA,NA
ssb,Stadtschreiber von Bergen,2,NA,NA,NA,NA,NA
ssd,Stadtschreiber von Dresden,2,NA,NA,NA,NA,NA
ssg,Stadtschreiber von Graz,2,NA,NA,Na,NA,NA
ssj,Stadtschreiber von Jena,2,NA,NA,NA,NA,NA
pewa,Peter Wawerzinek,4,2,NA,NA,NA,Ost-Berlin
